trade_time,trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02 09:45:00,2018-07-02T00:00:00.000000000,29702.0,1297.0,12522.0,2997.0,14877.0,848.0,5617.0,1939.0,24385.0,680.0,13737.0,3523.0,,,,
2018-07-02 10:00:00,2018-07-02T00:00:00.000000000,29111.0,1289.0,12492.0,2987.0,14534.0,844.0,5613.0,1941.0,24209.0,676.0,13702.0,3532.0,,,,
2018-07-02 10:15:00,2018-07-02T00:00:00.000000000,28739.0,1291.0,12488.0,2984.0,14221.0,841.0,5727.0,1937.0,23953.0,672.0,13694.0,3551.0,,,,
2018-07-02 10:30:00,2018-07-02T00:00:00.000000000,28482.0,1292.0,12494.0,2984.0,14185.0,853.0,5742.0,1935.0,23878.0,676.0,13687.0,3576.0,,,,
2018-07-02 10:45:00,2018-07-02T00:00:00.000000000,28424.0,1306.0,12612.0,2992.0,14190.0,856.0,5782.0,1941.0,23785.0,676.0,13671.0,3587.0,,,,
2018-07-02 11:00:00,2018-07-02T00:00:00.000000000,28565.0,1309.0,12642.0,2996.0,14179.0,860.0,5798.0,1943.0,23745.0,677.0,13670.0,3594.0,,,,
2018-07-02 11:15:00,2018-07-02T00:00:00.000000000,28461.0,1313.0,12742.0,2997.0,14157.0,863.0,5812.0,1949.0,23680.0,689.0,13663.0,3601.0,,,,
2018-07-02 11:30:00,2018-07-02T00:00:00.000000000,28434.0,1326.0,12789.0,2997.0,14249.0,870.0,5802.0,1952.0,23581.0,697.0,13671.0,3613.0,,,,
2018-07-02 13:15:00,2018-07-02T00:00:00.000000000,28437.0,1350.0,12809.0,2997.0,14266.0,902.0,5857.0,1955.0,23592.0,707.0,13684.0,3614.0,,,,
2018-07-02 13:30:00,2018-07-02T00:00:00.000000000,28614.0,1395.0,12828.0,2998.0,14338.0,904.0,5875.0,1956.0,23624.0,715.0,13685.0,3614.0,,,,
2018-07-02 13:45:00,2018-07-02T00:00:00.000000000,28704.0,1417.0,12909.0,3022.0,14425.0,902.0,5865.0,1966.0,23706.0,725.0,13673.0,3631.0,,,,
2018-07-02 14:00:00,2018-07-02T00:00:00.000000000,28818.0,1428.0,12961.0,3029.0,14558.0,911.0,5878.0,1966.0,23883.0,746.0,13675.0,3631.0,,,,
2018-07-02 14:15:00,2018-07-02T00:00:00.000000000,29144.0,1462.0,13044.0,3043.0,14741.0,916.0,5901.0,1970.0,24106.0,759.0,13689.0,3633.0,,,,
2018-07-02 14:30:00,2018-07-02T00:00:00.000000000,29548.0,1506.0,13156.0,3061.0,15006.0,931.0,5945.0,1979.0,24281.0,769.0,13694.0,3638.0,,,,
2018-07-02 14:45:00,2018-07-02T00:00:00.000000000,30124.0,1616.0,13269.0,3070.0,15375.0,952.0,5928.0,1991.0,24512.0,775.0,13691.0,3641.0,,,,
2018-07-02 15:00:00,2018-07-02T00:00:00.000000000,31234.0,1662.0,13381.0,3070.0,16120.0,986.0,5942.0,1996.0,25037.0,779.0,13680.0,3644.0,,,,
2018-07-03 09:45:00,2018-07-03T00:00:00.000000000,29620.0,1666.0,13241.0,3047.0,14913.0,936.0,5862.0,1991.0,24117.0,760.0,13618.0,3631.0,,,,
2018-07-03 10:00:00,2018-07-03T00:00:00.000000000,28946.0,1659.0,13234.0,3050.0,14536.0,927.0,5854.0,1992.0,23918.0,766.0,13639.0,3634.0,,,,
2018-07-03 10:15:00,2018-07-03T00:00:00.000000000,28867.0,1666.0,13234.0,3048.0,14549.0,923.0,5860.0,1992.0,23795.0,776.0,13654.0,3643.0,,,,
2018-07-03 10:30:00,2018-07-03T00:00:00.000000000,28913.0,1674.0,13217.0,3051.0,14517.0,916.0,5882.0,1993.0,23701.0,780.0,13684.0,3653.0,,,,
2018-07-03 10:45:00,2018-07-03T00:00:00.000000000,29084.0,1668.0,13243.0,3056.0,14556.0,914.0,5892.0,1997.0,23674.0,783.0,13719.0,3662.0,,,,
2018-07-03 11:00:00,2018-07-03T00:00:00.000000000,29230.0,1668.0,13281.0,3053.0,14704.0,909.0,5900.0,2002.0,23685.0,807.0,13742.0,3662.0,,,,
2018-07-03 11:15:00,2018-07-03T00:00:00.000000000,29428.0,1679.0,13327.0,3070.0,14782.0,924.0,5897.0,1998.0,23585.0,815.0,13762.0,3675.0,,,,
2018-07-03 11:30:00,2018-07-03T00:00:00.000000000,29910.0,1688.0,13358.0,3078.0,14971.0,931.0,5896.0,2006.0,23731.0,823.0,13790.0,3680.0,,,,
2018-07-03 13:15:00,2018-07-03T00:00:00.000000000,30151.0,1693.0,13415.0,3086.0,15286.0,930.0,5886.0,2014.0,23864.0,843.0,13838.0,3685.0,,,,
2018-07-03 13:30:00,2018-07-03T00:00:00.000000000,30514.0,1696.0,13424.0,3093.0,15598.0,934.0,5882.0,2023.0,24268.0,848.0,13901.0,3692.0,,,,
2018-07-03 13:45:00,2018-07-03T00:00:00.000000000,30945.0,1694.0,13471.0,3100.0,15878.0,942.0,5869.0,2024.0,24654.0,857.0,13941.0,3711.0,,,,
2018-07-03 14:00:00,2018-07-03T00:00:00.000000000,31314.0,1700.0,13525.0,3111.0,16092.0,948.0,5865.0,2025.0,24833.0,869.0,13965.0,3721.0,,,,
2018-07-03 14:15:00,2018-07-03T00:00:00.000000000,31736.0,1777.0,13592.0,3119.0,16375.0,949.0,5853.0,2027.0,25125.0,885.0,14007.0,3763.0,,,,
2018-07-03 14:30:00,2018-07-03T00:00:00.000000000,32065.0,1853.0,13656.0,3126.0,16686.0,954.0,5859.0,2029.0,25367.0,900.0,14050.0,3774.0,,,,
2018-07-03 14:45:00,2018-07-03T00:00:00.000000000,32457.0,1922.0,13710.0,3133.0,16974.0,956.0,5874.0,2032.0,25734.0,907.0,14104.0,3778.0,,,,
2018-07-03 15:00:00,2018-07-03T00:00:00.000000000,33110.0,1990.0,13788.0,3142.0,17421.0,959.0,5890.0,2035.0,26187.0,910.0,14123.0,3787.0,,,,
2018-07-04 09:45:00,2018-07-04T00:00:00.000000000,31261.0,1941.0,13631.0,3103.0,15985.0,942.0,5746.0,2025.0,25027.0,898.0,14052.0,3780.0,,,,
2018-07-04 10:00:00,2018-07-04T00:00:00.000000000,30674.0,1925.0,13619.0,3094.0,15508.0,937.0,5744.0,2022.0,24761.0,899.0,14004.0,3767.0,,,,
2018-07-04 10:15:00,2018-07-04T00:00:00.000000000,30328.0,1901.0,13700.0,3099.0,15165.0,963.0,5777.0,2020.0,24516.0,895.0,13983.0,3762.0,,,,
2018-07-04 10:30:00,2018-07-04T00:00:00.000000000,30219.0,1889.0,13719.0,3096.0,15112.0,975.0,5878.0,2023.0,24401.0,896.0,13954.0,3765.0,,,,
2018-07-04 10:45:00,2018-07-04T00:00:00.000000000,30062.0,1885.0,13704.0,3098.0,15026.0,977.0,5907.0,2022.0,24279.0,900.0,13933.0,3760.0,,,,
2018-07-04 11:00:00,2018-07-04T00:00:00.000000000,29970.0,1883.0,13702.0,3101.0,15008.0,979.0,5907.0,2020.0,24252.0,912.0,13934.0,3764.0,,,,
2018-07-04 11:15:00,2018-07-04T00:00:00.000000000,29995.0,1884.0,13710.0,3110.0,14996.0,984.0,5920.0,2022.0,24230.0,917.0,13940.0,3766.0,,,,
2018-07-04 11:30:00,2018-07-04T00:00:00.000000000,30055.0,1886.0,13707.0,3122.0,14946.0,986.0,5930.0,2028.0,24222.0,926.0,13932.0,3770.0,,,,
2018-07-04 13:15:00,2018-07-04T00:00:00.000000000,30094.0,1887.0,13738.0,3121.0,14975.0,986.0,5934.0,2028.0,24205.0,929.0,13927.0,3768.0,,,,
2018-07-04 13:30:00,2018-07-04T00:00:00.000000000,30225.0,1889.0,13757.0,3121.0,14982.0,987.0,5938.0,2029.0,24304.0,930.0,13947.0,3772.0,,,,
2018-07-04 13:45:00,2018-07-04T00:00:00.000000000,30329.0,1920.0,13779.0,3133.0,15052.0,991.0,5959.0,2029.0,24351.0,938.0,13953.0,3784.0,,,,
2018-07-04 14:00:00,2018-07-04T00:00:00.000000000,30493.0,1938.0,13819.0,3135.0,15135.0,996.0,5981.0,2029.0,24395.0,952.0,13964.0,3793.0,,,,
2018-07-04 14:15:00,2018-07-04T00:00:00.000000000,30737.0,1992.0,13820.0,3134.0,15295.0,999.0,5999.0,2029.0,24526.0,961.0,13987.0,3804.0,,,,
2018-07-04 14:30:00,2018-07-04T00:00:00.000000000,31030.0,2009.0,13828.0,3134.0,15325.0,1006.0,6024.0,2031.0,24756.0,975.0,14026.0,3803.0,,,,
2018-07-04 14:45:00,2018-07-04T00:00:00.000000000,31513.0,2028.0,13887.0,3142.0,15530.0,1015.0,6036.0,2032.0,24866.0,986.0,14093.0,3804.0,,,,
2018-07-04 15:00:00,2018-07-04T00:00:00.000000000,32205.0,2053.0,13969.0,3152.0,16043.0,1037.0,6067.0,2029.0,25266.0,1024.0,14154.0,3811.0,,,,
2018-07-05 09:45:00,2018-07-05T00:00:00.000000000,30219.0,1993.0,13911.0,3129.0,14669.0,944.0,5935.0,2024.0,24368.0,1015.0,14096.0,3810.0,,,,
2018-07-05 10:00:00,2018-07-05T00:00:00.000000000,29634.0,1967.0,13852.0,3129.0,14190.0,960.0,5873.0,2023.0,24092.0,995.0,14125.0,3804.0,,,,
2018-07-05 10:15:00,2018-07-05T00:00:00.000000000,29369.0,1966.0,13889.0,3131.0,14159.0,947.0,5813.0,2024.0,23863.0,999.0,14171.0,3813.0,,,,
2018-07-05 10:30:00,2018-07-05T00:00:00.000000000,29198.0,1971.0,13923.0,3138.0,14176.0,962.0,5826.0,2025.0,23727.0,1017.0,14236.0,3818.0,,,,
2018-07-05 10:45:00,2018-07-05T00:00:00.000000000,28975.0,1963.0,13947.0,3137.0,14219.0,960.0,5781.0,2026.0,23685.0,1039.0,14297.0,3838.0,,,,
2018-07-05 11:00:00,2018-07-05T00:00:00.000000000,29036.0,1965.0,13952.0,3143.0,14286.0,975.0,5796.0,2024.0,23566.0,1041.0,14401.0,3839.0,,,,
2018-07-05 11:15:00,2018-07-05T00:00:00.000000000,29154.0,1968.0,13952.0,3142.0,14367.0,983.0,5811.0,2024.0,23594.0,1045.0,14437.0,3844.0,,,,
2018-07-05 11:30:00,2018-07-05T00:00:00.000000000,29560.0,1983.0,14025.0,3142.0,14520.0,991.0,5819.0,2024.0,23762.0,1056.0,14507.0,3862.0,,,,
2018-07-05 13:15:00,2018-07-05T00:00:00.000000000,29710.0,1988.0,14041.0,3147.0,14670.0,996.0,5824.0,2026.0,23787.0,1058.0,14513.0,3875.0,,,,
2018-07-05 13:30:00,2018-07-05T00:00:00.000000000,29989.0,1996.0,14094.0,3153.0,14823.0,1006.0,5831.0,2026.0,23959.0,1072.0,14572.0,3886.0,,,,
2018-07-05 13:45:00,2018-07-05T00:00:00.000000000,30376.0,2006.0,14129.0,3172.0,14926.0,1018.0,5830.0,2026.0,24088.0,1095.0,14609.0,3893.0,,,,
2018-07-05 14:00:00,2018-07-05T00:00:00.000000000,30749.0,2023.0,14190.0,3173.0,15117.0,1033.0,5854.0,2027.0,24244.0,1109.0,14620.0,3899.0,,,,
2018-07-05 14:15:00,2018-07-05T00:00:00.000000000,31178.0,2025.0,14231.0,3174.0,15361.0,1041.0,5863.0,2031.0,24569.0,1128.0,14686.0,3902.0,,,,
2018-07-05 14:30:00,2018-07-05T00:00:00.000000000,31448.0,2026.0,14286.0,3173.0,15681.0,1094.0,6050.0,2032.0,24731.0,1135.0,14744.0,3909.0,,,,
2018-07-05 14:45:00,2018-07-05T00:00:00.000000000,31964.0,2032.0,14313.0,3180.0,16148.0,1111.0,6212.0,2036.0,25105.0,1159.0,14832.0,3926.0,,,,
