trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,25035886920.0,910674000.0,3926581620.0,578120160.0,11853999840.0,444913080.0,1601150820.0,194522640.0,14754055600.0,393928200.0,1800567440.0,410273880.0,,,,
2018-07-03,27698743200.0,1207085160.0,3921102600.0,553251900.0,13159421880.0,369549480.0,1363944480.0,193441380.0,15902013080.0,445648280.0,2266774040.0,446455080.0,,,,
2018-07-04,22636942740.0,768838860.0,3146373900.0,404994000.0,10415277360.0,253039860.0,1145383920.0,90163740.0,13641164240.0,432971680.0,1554294400.0,307714200.0,,,,
2018-07-05,25360222440.0,607021860.0,3077048880.0,323374680.0,11813848020.0,543368100.0,1404451080.0,86319720.0,15735446000.0,529626760.0,2504114120.0,545565520.0,,,,
2018-07-06,29120697060.0,999491280.0,4478481300.0,540383640.0,13658981040.0,466534740.0,1585753440.0,178142460.0,17462831200.0,576296360.0,2403587160.0,497873400.0,,,,
2018-07-09,24499183740.0,1014058440.0,3631133880.0,475213740.0,10934753520.0,434314320.0,1453079100.0,216010620.0,12901927840.0,576908320.0,1665438200.0,413479520.0,,,,
2018-07-10,22375991700.0,1301309280.0,3823131660.0,686703540.0,10208592120.0,445961820.0,1282313880.0,197069760.0,12222068720.0,735538800.0,1671790520.0,355588160.0,,,,
2018-07-11,26620225380.0,1851230640.0,4655812920.0,530338020.0,11403521940.0,697077660.0,1121430900.0,233948640.0,15449708360.0,1090719720.0,1881530360.0,460216800.0,,,,
2018-07-12,26276060940.0,2529439500.0,4023430500.0,617487600.0,10845271560.0,621485760.0,1087608840.0,167018880.0,16153001720.0,1726802080.0,2866376600.0,581634200.0,,,,
2018-07-13,19199203500.0,2053502460.0,2585419200.0,303345000.0,8109198660.0,546394800.0,625079520.0,80392020.0,11086018560.0,1714240240.0,1603466680.0,380958440.0,,,,
2018-07-16,21243651300.0,3377394120.0,3454548960.0,376578720.0,10102697760.0,1000669080.0,961096440.0,140737680.0,12317894880.0,2978474400.0,1919191120.0,308628000.0,,,,
2018-07-17,23218883760.0,6148470480.0,4736231400.0,509499180.0,9540536400.0,1910487840.0,1013494680.0,214739400.0,13724939720.0,4271904760.0,2124241080.0,404128520.0,,,,
2018-07-18,21361932240.0,8822176260.0,4242031560.0,392965860.0,9622520100.0,3316552320.0,998016000.0,143523180.0,12859687280.0,5794572320.0,2066037320.0,395473880.0,,,,
2018-07-19,16468777020.0,16169689320.0,4311212700.0,437802900.0,6716040120.0,5825171340.0,1164175920.0,142998540.0,9566708440.0,9591088760.0,2340337240.0,399925560.0,,,,
