trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,31234.0,1662.0,13381.0,3070.0,16120.0,986.0,5942.0,1996.0,25037.0,779.0,13680.0,3644.0,,,,
2018-07-03,33110.0,1990.0,13788.0,3142.0,17421.0,959.0,5890.0,2035.0,26187.0,910.0,14123.0,3787.0,,,,
2018-07-04,32205.0,2053.0,13969.0,3152.0,16043.0,1037.0,6067.0,2029.0,25266.0,1024.0,14154.0,3811.0,,,,
2018-07-05,32608.0,2042.0,14358.0,3187.0,16522.0,1147.0,6238.0,2038.0,25525.0,1207.0,14902.0,3963.0,,,,
2018-07-06,31963.0,2247.0,14881.0,3328.0,16739.0,933.0,6043.0,2082.0,25642.0,1336.0,14936.0,4063.0,,,,
2018-07-09,30020.0,2376.0,14686.0,3279.0,15911.0,1004.0,5688.0,2077.0,23804.0,1583.0,15032.0,4183.0,,,,
2018-07-10,29502.0,2845.0,15070.0,3503.0,15883.0,1107.0,5685.0,2137.0,23247.0,1899.0,15256.0,4326.0,,,,
2018-07-11,28977.0,3396.0,15563.0,3554.0,16218.0,1395.0,5660.0,2160.0,22894.0,2402.0,15505.0,4505.0,,,,
2018-07-12,27255.0,4195.0,15382.0,3625.0,15623.0,1467.0,5701.0,2200.0,21678.0,3149.0,15926.0,4731.0,,,,
2018-07-13,25174.0,4639.0,15525.0,3567.0,14867.0,1556.0,5651.0,2204.0,19889.0,4017.0,15695.0,4797.0,,,,
2018-07-16,24508.0,6096.0,16256.0,3679.0,14389.0,2130.0,5917.0,2236.0,17985.0,5904.0,16318.0,4894.0,,,,
2018-07-17,21181.0,9053.0,17931.0,3847.0,12519.0,3375.0,5890.0,2322.0,15264.0,8145.0,16873.0,5097.0,,,,
2018-07-18,16324.0,13166.0,18054.0,3890.0,9423.0,5451.0,6085.0,2295.0,10633.0,11425.0,17441.0,5279.0,,,,
2018-07-19,7364.0,20515.0,19029.0,3931.0,4765.0,9240.0,6199.0,2347.0,5070.0,17014.0,17918.0,5480.0,,,,
2018-07-20,2199.0,26322.0,18997.0,3989.0,1264.0,14174.0,6505.0,2552.0,1595.0,21097.0,18092.0,5704.0,,,,
2018-07-23,25867.0,18655.0,4002.0,105.0,14558.0,6355.0,2584.0,48.0,21489.0,18072.0,5849.0,106.0,,,,
2018-07-24,26194.0,18492.0,3976.0,140.0,14415.0,6222.0,2528.0,82.0,21805.0,17674.0,6048.0,143.0,,,,
2018-07-25,25129.0,18357.0,3918.0,157.0,13510.0,6171.0,2547.0,97.0,20350.0,17453.0,6176.0,237.0,,,,
2018-07-26,25919.0,18938.0,4053.0,199.0,14203.0,6265.0,2493.0,111.0,20952.0,17268.0,6296.0,267.0,,,,
2018-07-27,25927.0,18873.0,4094.0,278.0,13692.0,6076.0,2505.0,131.0,20882.0,17330.0,6420.0,373.0,,,,
2018-07-30,26310.0,19098.0,4249.0,346.0,14680.0,6259.0,2530.0,171.0,21166.0,17338.0,6420.0,401.0,,,,
2018-07-31,25870.0,18866.0,4256.0,353.0,13907.0,6227.0,2541.0,176.0,21047.0,17205.0,6505.0,462.0,,,,
2018-08-01,27749.0,19465.0,4359.0,414.0,14424.0,6676.0,2634.0,202.0,21340.0,17257.0,6640.0,473.0,,,,
2018-08-02,27452.0,19605.0,4441.0,456.0,14191.0,6501.0,2721.0,244.0,21352.0,17309.0,6755.0,544.0,,,,
2018-08-03,26311.0,19436.0,4409.0,466.0,13355.0,6242.0,2732.0,237.0,20323.0,16879.0,6868.0,587.0,,,,
2018-08-06,26953.0,20275.0,4404.0,588.0,13817.0,6573.0,2756.0,248.0,20211.0,17084.0,7024.0,640.0,,,,
2018-08-07,25731.0,20096.0,4425.0,563.0,13539.0,6660.0,2761.0,256.0,19810.0,17334.0,7121.0,689.0,,,,
2018-08-08,25062.0,20229.0,4489.0,604.0,12776.0,6638.0,2812.0,262.0,19518.0,17397.0,7226.0,758.0,,,,
2018-08-09,25930.0,21210.0,4734.0,638.0,13150.0,7117.0,2835.0,277.0,19035.0,18315.0,7467.0,837.0,,,,
2018-08-10,23754.0,21522.0,4656.0,658.0,12019.0,7162.0,2885.0,277.0,17726.0,18509.0,7385.0,858.0,,,,
2018-08-13,22562.0,24058.0,4873.0,751.0,11894.0,8463.0,2980.0,292.0,16648.0,20069.0,7696.0,880.0,,,,
2018-08-14,19318.0,26640.0,4928.0,750.0,10301.0,9366.0,2980.0,299.0,13563.0,22004.0,7755.0,971.0,,,,
2018-08-15,14737.0,31689.0,5242.0,928.0,8283.0,12018.0,3097.0,294.0,10569.0,26365.0,7989.0,1098.0,,,,
2018-08-16,7631.0,40338.0,5388.0,954.0,4893.0,16143.0,3362.0,321.0,5008.0,31180.0,8273.0,1159.0,,,,
2018-08-17,1844.0,44330.0,6001.0,1115.0,1102.0,18059.0,3680.0,309.0,898.0,34093.0,8622.0,1254.0,,,,
2018-08-20,45861.0,269.0,6095.0,1219.0,19239.0,39.0,3602.0,354.0,34943.0,156.0,8672.0,1361.0,,,,
