trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02,24496.0,899.0,3889.0,578.0,16479.0,620.0,2236.0,272.0,14354.0,386.0,1783.0,413.0,,,,
2018-07-03,27595.0,1208.0,3956.0,562.0,18669.0,526.0,1945.0,276.0,15603.0,441.0,2264.0,455.0,,,,
2018-07-04,22560.0,771.0,3174.0,411.0,14731.0,359.0,1629.0,128.0,13396.0,429.0,1553.0,314.0,,,,
2018-07-05,25396.0,611.0,3117.0,330.0,16737.0,770.0,2000.0,123.0,15688.0,533.0,2542.0,566.0,,,,
2018-07-06,29203.0,1005.0,4530.0,551.0,19240.0,655.0,2238.0,252.0,17594.0,585.0,2463.0,521.0,,,,
2018-07-09,23979.0,997.0,3588.0,473.0,14997.0,598.0,1999.0,297.0,12790.0,577.0,1680.0,426.0,,,,
2018-07-10,21727.0,1270.0,3743.0,676.0,13921.0,609.0,1752.0,269.0,12007.0,729.0,1671.0,363.0,,,,
2018-07-11,26299.0,1841.0,4650.0,533.0,15795.0,968.0,1559.0,325.0,15491.0,1104.0,1920.0,480.0,,,,
2018-07-12,25348.0,2450.0,3922.0,607.0,14723.0,843.0,1481.0,228.0,15754.0,1696.0,2841.0,591.0,,,,
2018-07-13,18395.0,1979.0,2505.0,296.0,10966.0,740.0,848.0,109.0,10698.0,1669.0,1574.0,382.0,,,,
2018-07-16,20444.0,3274.0,3367.0,369.0,13758.0,1366.0,1313.0,192.0,11888.0,2900.0,1887.0,310.0,,,,
2018-07-17,22548.0,6015.0,4673.0,505.0,13096.0,2627.0,1394.0,295.0,13293.0,4173.0,2096.0,407.0,,,,
2018-07-18,20621.0,8588.0,4165.0,388.0,13138.0,4537.0,1365.0,196.0,12391.0,5634.0,2027.0,396.0,,,,
2018-07-19,15945.0,15797.0,4248.0,434.0,9188.0,7987.0,1595.0,196.0,9317.0,9440.0,2324.0,405.0,,,,
2018-07-20,7215.0,26381.0,5881.0,681.0,4583.0,15866.0,2767.0,495.0,4405.0,14232.0,2722.0,541.0,,,,
2018-07-23,23532.0,4163.0,728.0,109.0,15563.0,2031.0,385.0,49.0,12866.0,2322.0,630.0,113.0,,,,
2018-07-24,23181.0,4813.0,828.0,117.0,15499.0,1966.0,314.0,76.0,13444.0,3165.0,929.0,154.0,,,,
2018-07-25,17607.0,2623.0,473.0,49.0,11950.0,1288.0,412.0,40.0,9731.0,1651.0,621.0,152.0,,,,
2018-07-26,20921.0,3735.0,644.0,107.0,13735.0,1799.0,375.0,46.0,10676.0,1601.0,490.0,101.0,,,,
2018-07-27,20261.0,2972.0,593.0,169.0,12428.0,1332.0,354.0,74.0,11181.0,1395.0,491.0,187.0,,,,
2018-07-30,22837.0,3474.0,798.0,181.0,14835.0,1737.0,417.0,70.0,12004.0,1672.0,399.0,111.0,,,,
2018-07-31,20842.0,2882.0,670.0,78.0,13390.0,1415.0,328.0,49.0,10809.0,1395.0,339.0,152.0,,,,
2018-08-01,27936.0,4911.0,956.0,185.0,17005.0,2572.0,492.0,71.0,14046.0,2104.0,625.0,150.0,,,,
2018-08-02,27927.0,5753.0,1011.0,180.0,17780.0,2798.0,655.0,97.0,16415.0,3128.0,830.0,179.0,,,,
2018-08-03,23353.0,4545.0,874.0,102.0,14614.0,1984.0,600.0,92.0,13124.0,2599.0,589.0,152.0,,,,
2018-08-06,25333.0,5559.0,1023.0,220.0,16604.0,2466.0,567.0,75.0,14422.0,2945.0,662.0,185.0,,,,
2018-08-07,27321.0,5768.0,1053.0,162.0,16162.0,2487.0,581.0,55.0,14565.0,3057.0,691.0,197.0,,,,
2018-08-08,23380.0,4506.0,907.0,154.0,14558.0,2310.0,529.0,38.0,13709.0,2029.0,540.0,148.0,,,,
