trade_time,trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02 10:00:00,2018-07-02T00:00:00.000000000,4077.0,94.0,510.0,69.0,2850.0,67.0,300.0,21.0,2790.0,87.0,302.0,94.0,,,,
2018-07-02 10:30:00,2018-07-02T00:00:00.000000000,2599.0,64.0,383.0,48.0,2178.0,140.0,462.0,47.0,1637.0,36.0,151.0,79.0,,,,
2018-07-02 11:00:00,2018-07-02T00:00:00.000000000,3095.0,78.0,512.0,54.0,1795.0,45.0,133.0,22.0,1536.0,43.0,177.0,37.0,,,,
2018-07-02 11:30:00,2018-07-02T00:00:00.000000000,2454.0,82.0,487.0,47.0,1538.0,38.0,159.0,24.0,1476.0,41.0,114.0,34.0,,,,
2018-07-02 13:30:00,2018-07-02T00:00:00.000000000,2222.0,152.0,281.0,44.0,1665.0,122.0,197.0,25.0,1173.0,43.0,197.0,53.0,,,,
2018-07-02 14:00:00,2018-07-02T00:00:00.000000000,2609.0,87.0,423.0,86.0,1342.0,39.0,179.0,35.0,1692.0,64.0,199.0,34.0,,,,
2018-07-02 14:30:00,2018-07-02T00:00:00.000000000,3200.0,139.0,566.0,114.0,1964.0,50.0,246.0,31.0,1781.0,31.0,279.0,33.0,,,,
2018-07-02 15:00:00,2018-07-02T00:00:00.000000000,4240.0,203.0,727.0,116.0,3147.0,119.0,560.0,67.0,2269.0,41.0,364.0,49.0,,,,
2018-07-03 10:00:00,2018-07-03T00:00:00.000000000,6770.0,325.0,843.0,111.0,4634.0,192.0,555.0,66.0,3075.0,117.0,413.0,101.0,,,,
2018-07-03 10:30:00,2018-07-03T00:00:00.000000000,3656.0,110.0,428.0,86.0,2410.0,60.0,174.0,27.0,1863.0,43.0,356.0,53.0,,,,
2018-07-03 11:00:00,2018-07-03T00:00:00.000000000,2560.0,57.0,393.0,60.0,1669.0,41.0,153.0,21.0,1332.0,52.0,230.0,38.0,,,,
2018-07-03 11:30:00,2018-07-03T00:00:00.000000000,3987.0,128.0,789.0,114.0,2661.0,77.0,267.0,50.0,2291.0,60.0,431.0,79.0,,,,
2018-07-03 13:30:00,2018-07-03T00:00:00.000000000,3078.0,77.0,427.0,35.0,2571.0,58.0,290.0,42.0,2238.0,42.0,266.0,36.0,,,,
2018-07-03 14:00:00,2018-07-03T00:00:00.000000000,2827.0,107.0,453.0,59.0,1838.0,39.0,259.0,31.0,1843.0,60.0,203.0,51.0,,,,
2018-07-03 14:30:00,2018-07-03T00:00:00.000000000,2531.0,218.0,333.0,59.0,1447.0,33.0,121.0,23.0,1576.0,51.0,183.0,75.0,,,,
2018-07-03 15:00:00,2018-07-03T00:00:00.000000000,2186.0,186.0,290.0,38.0,1439.0,26.0,126.0,16.0,1385.0,16.0,182.0,22.0,,,,
2018-07-04 10:00:00,2018-07-04T00:00:00.000000000,5630.0,169.0,642.0,108.0,4190.0,100.0,403.0,54.0,3924.0,103.0,339.0,61.0,,,,
2018-07-04 10:30:00,2018-07-04T00:00:00.000000000,3587.0,100.0,710.0,65.0,2301.0,106.0,417.0,22.0,1820.0,47.0,159.0,45.0,,,,
2018-07-04 11:00:00,2018-07-04T00:00:00.000000000,2175.0,57.0,286.0,37.0,1336.0,16.0,245.0,16.0,1201.0,55.0,132.0,26.0,,,,
2018-07-04 11:30:00,2018-07-04T00:00:00.000000000,2507.0,50.0,356.0,50.0,1521.0,36.0,123.0,11.0,1372.0,45.0,174.0,35.0,,,,
2018-07-04 13:30:00,2018-07-04T00:00:00.000000000,1884.0,49.0,203.0,17.0,1201.0,10.0,98.0,4.0,1077.0,25.0,141.0,33.0,,,,
2018-07-04 14:00:00,2018-07-04T00:00:00.000000000,1882.0,108.0,253.0,60.0,977.0,15.0,85.0,1.0,905.0,33.0,145.0,41.0,,,,
2018-07-04 14:30:00,2018-07-04T00:00:00.000000000,2198.0,124.0,251.0,29.0,1291.0,19.0,108.0,6.0,1411.0,35.0,198.0,51.0,,,,
2018-07-04 15:00:00,2018-07-04T00:00:00.000000000,2697.0,114.0,473.0,45.0,1914.0,57.0,150.0,14.0,1686.0,86.0,265.0,22.0,,,,
2018-07-05 10:00:00,2018-07-05T00:00:00.000000000,6794.0,194.0,769.0,94.0,4689.0,287.0,481.0,47.0,3513.0,95.0,543.0,76.0,,,,
2018-07-05 10:30:00,2018-07-05T00:00:00.000000000,2611.0,79.0,383.0,23.0,1704.0,143.0,243.0,11.0,2046.0,74.0,307.0,39.0,,,,
2018-07-05 11:00:00,2018-07-05T00:00:00.000000000,3011.0,41.0,421.0,33.0,1635.0,61.0,246.0,5.0,1951.0,79.0,337.0,52.0,,,,
2018-07-05 11:30:00,2018-07-05T00:00:00.000000000,3102.0,105.0,359.0,24.0,1678.0,35.0,134.0,4.0,1661.0,52.0,224.0,57.0,,,,
2018-07-05 13:30:00,2018-07-05T00:00:00.000000000,2604.0,56.0,437.0,45.0,1777.0,49.0,152.0,7.0,1613.0,45.0,408.0,114.0,,,,
2018-07-05 14:00:00,2018-07-05T00:00:00.000000000,2527.0,55.0,275.0,47.0,1671.0,45.0,103.0,8.0,1350.0,64.0,161.0,93.0,,,,
2018-07-05 14:30:00,2018-07-05T00:00:00.000000000,2142.0,27.0,248.0,21.0,1533.0,82.0,308.0,10.0,1513.0,35.0,256.0,45.0,,,,
2018-07-05 15:00:00,2018-07-05T00:00:00.000000000,2605.0,54.0,225.0,43.0,2050.0,68.0,333.0,31.0,2041.0,89.0,306.0,90.0,,,,
2018-07-06 10:00:00,2018-07-06T00:00:00.000000000,5493.0,139.0,878.0,63.0,3464.0,81.0,320.0,30.0,3591.0,77.0,407.0,118.0,,,,
2018-07-06 10:30:00,2018-07-06T00:00:00.000000000,3473.0,75.0,363.0,57.0,2092.0,39.0,211.0,27.0,1990.0,56.0,193.0,53.0,,,,
2018-07-06 11:00:00,2018-07-06T00:00:00.000000000,2519.0,49.0,239.0,37.0,1400.0,21.0,92.0,6.0,1457.0,51.0,235.0,35.0,,,,
2018-07-06 11:30:00,2018-07-06T00:00:00.000000000,4486.0,111.0,500.0,91.0,3142.0,42.0,253.0,49.0,2663.0,70.0,398.0,73.0,,,,
2018-07-06 13:30:00,2018-07-06T00:00:00.000000000,5076.0,246.0,1105.0,157.0,3518.0,230.0,659.0,44.0,3351.0,163.0,542.0,112.0,,,,
2018-07-06 14:00:00,2018-07-06T00:00:00.000000000,2753.0,172.0,473.0,73.0,2170.0,118.0,343.0,55.0,1509.0,70.0,305.0,49.0,,,,
2018-07-06 14:30:00,2018-07-06T00:00:00.000000000,2336.0,98.0,392.0,37.0,1553.0,71.0,225.0,30.0,1258.0,39.0,217.0,42.0,,,,
2018-07-06 15:00:00,2018-07-06T00:00:00.000000000,3067.0,115.0,580.0,36.0,1901.0,53.0,135.0,11.0,1775.0,59.0,166.0,39.0,,,,
2018-07-09 10:00:00,2018-07-09T00:00:00.000000000,7154.0,266.0,1019.0,127.0,4763.0,352.0,1024.0,142.0,3144.0,144.0,380.0,79.0,,,,
2018-07-09 10:30:00,2018-07-09T00:00:00.000000000,3370.0,112.0,545.0,37.0,1956.0,67.0,263.0,37.0,1606.0,53.0,222.0,96.0,,,,
2018-07-09 11:00:00,2018-07-09T00:00:00.000000000,2044.0,88.0,254.0,48.0,1311.0,23.0,136.0,11.0,1274.0,69.0,280.0,41.0,,,,
2018-07-09 11:30:00,2018-07-09T00:00:00.000000000,1677.0,70.0,239.0,40.0,1170.0,15.0,57.0,14.0,1185.0,61.0,123.0,44.0,,,,
2018-07-09 13:30:00,2018-07-09T00:00:00.000000000,1765.0,46.0,198.0,39.0,941.0,25.0,101.0,9.0,934.0,64.0,118.0,26.0,,,,
2018-07-09 14:00:00,2018-07-09T00:00:00.000000000,1605.0,65.0,176.0,29.0,823.0,16.0,74.0,5.0,1073.0,42.0,145.0,36.0,,,,
2018-07-09 14:30:00,2018-07-09T00:00:00.000000000,2859.0,159.0,534.0,68.0,1463.0,41.0,150.0,16.0,1689.0,89.0,237.0,60.0,,,,
2018-07-09 15:00:00,2018-07-09T00:00:00.000000000,3505.0,191.0,623.0,85.0,2570.0,59.0,194.0,63.0,1885.0,55.0,175.0,44.0,,,,
2018-07-10 10:00:00,2018-07-10T00:00:00.000000000,4738.0,302.0,1164.0,166.0,3366.0,161.0,521.0,119.0,2352.0,139.0,293.0,134.0,,,,
2018-07-10 10:30:00,2018-07-10T00:00:00.000000000,2422.0,148.0,294.0,74.0,1610.0,65.0,168.0,36.0,1482.0,104.0,229.0,35.0,,,,
2018-07-10 11:00:00,2018-07-10T00:00:00.000000000,2242.0,121.0,448.0,163.0,1207.0,45.0,167.0,18.0,1221.0,63.0,177.0,33.0,,,,
2018-07-10 11:30:00,2018-07-10T00:00:00.000000000,1876.0,81.0,478.0,91.0,1193.0,24.0,139.0,6.0,1036.0,36.0,158.0,30.0,,,,
2018-07-10 13:30:00,2018-07-10T00:00:00.000000000,2127.0,179.0,270.0,53.0,1415.0,143.0,181.0,25.0,1204.0,115.0,132.0,9.0,,,,
2018-07-10 14:00:00,2018-07-10T00:00:00.000000000,2200.0,113.0,344.0,30.0,1183.0,50.0,163.0,15.0,1296.0,93.0,259.0,18.0,,,,
2018-07-10 14:30:00,2018-07-10T00:00:00.000000000,2361.0,131.0,297.0,31.0,1512.0,49.0,146.0,18.0,1423.0,92.0,174.0,31.0,,,,
2018-07-10 15:00:00,2018-07-10T00:00:00.000000000,3761.0,195.0,448.0,68.0,2435.0,72.0,267.0,32.0,1993.0,87.0,249.0,73.0,,,,
2018-07-11 10:00:00,2018-07-11T00:00:00.000000000,7704.0,679.0,1516.0,228.0,4898.0,388.0,589.0,179.0,4277.0,328.0,640.0,150.0,,,,
2018-07-11 10:30:00,2018-07-11T00:00:00.000000000,3562.0,224.0,515.0,57.0,1948.0,41.0,218.0,39.0,1784.0,90.0,202.0,78.0,,,,
2018-07-11 11:00:00,2018-07-11T00:00:00.000000000,3071.0,157.0,626.0,44.0,1363.0,67.0,119.0,15.0,1299.0,105.0,180.0,25.0,,,,
2018-07-11 11:30:00,2018-07-11T00:00:00.000000000,2720.0,126.0,273.0,24.0,1566.0,35.0,110.0,30.0,1471.0,77.0,194.0,32.0,,,,
2018-07-11 13:30:00,2018-07-11T00:00:00.000000000,1401.0,69.0,195.0,25.0,1077.0,49.0,100.0,10.0,1097.0,70.0,130.0,40.0,,,,
2018-07-11 14:00:00,2018-07-11T00:00:00.000000000,1944.0,141.0,265.0,27.0,1156.0,81.0,93.0,11.0,2108.0,145.0,266.0,45.0,,,,
2018-07-11 14:30:00,2018-07-11T00:00:00.000000000,3162.0,225.0,882.0,88.0,1927.0,132.0,160.0,27.0,1559.0,145.0,136.0,42.0,,,,
2018-07-11 15:00:00,2018-07-11T00:00:00.000000000,2735.0,220.0,378.0,40.0,1860.0,175.0,170.0,14.0,1896.0,144.0,172.0,68.0,,,,
2018-07-12 10:00:00,2018-07-12T00:00:00.000000000,6525.0,436.0,928.0,178.0,3777.0,148.0,380.0,76.0,3881.0,355.0,592.0,148.0,,,,
2018-07-12 10:30:00,2018-07-12T00:00:00.000000000,3308.0,306.0,559.0,91.0,2147.0,67.0,213.0,67.0,2108.0,167.0,389.0,79.0,,,,
2018-07-12 11:00:00,2018-07-12T00:00:00.000000000,2568.0,192.0,346.0,78.0,1307.0,74.0,94.0,20.0,1486.0,116.0,279.0,96.0,,,,
2018-07-12 11:30:00,2018-07-12T00:00:00.000000000,2529.0,287.0,483.0,80.0,1529.0,111.0,140.0,11.0,2004.0,194.0,284.0,123.0,,,,
2018-07-12 13:30:00,2018-07-12T00:00:00.000000000,2987.0,495.0,644.0,69.0,1628.0,186.0,243.0,18.0,1349.0,255.0,443.0,47.0,,,,
2018-07-12 14:00:00,2018-07-12T00:00:00.000000000,2325.0,302.0,344.0,45.0,1291.0,127.0,130.0,8.0,1079.0,198.0,193.0,15.0,,,,
2018-07-12 14:30:00,2018-07-12T00:00:00.000000000,2150.0,181.0,253.0,31.0,1296.0,65.0,144.0,12.0,1784.0,220.0,269.0,45.0,,,,
2018-07-12 15:00:00,2018-07-12T00:00:00.000000000,2956.0,251.0,365.0,35.0,1748.0,65.0,137.0,16.0,2063.0,191.0,392.0,38.0,,,,
2018-07-13 10:00:00,2018-07-13T00:00:00.000000000,3866.0,519.0,459.0,67.0,2607.0,222.0,243.0,46.0,2223.0,434.0,336.0,62.0,,,,
2018-07-13 10:30:00,2018-07-13T00:00:00.000000000,2171.0,259.0,197.0,22.0,1301.0,80.0,85.0,4.0,1568.0,295.0,193.0,60.0,,,,
2018-07-13 11:00:00,2018-07-13T00:00:00.000000000,2185.0,174.0,340.0,74.0,1198.0,81.0,127.0,14.0,1208.0,161.0,133.0,54.0,,,,
2018-07-13 11:30:00,2018-07-13T00:00:00.000000000,1927.0,167.0,355.0,48.0,1136.0,76.0,93.0,11.0,856.0,83.0,150.0,45.0,,,,
2018-07-13 13:30:00,2018-07-13T00:00:00.000000000,1674.0,164.0,200.0,18.0,951.0,49.0,79.0,4.0,888.0,129.0,128.0,30.0,,,,
2018-07-13 14:00:00,2018-07-13T00:00:00.000000000,1595.0,167.0,221.0,19.0,932.0,55.0,51.0,4.0,844.0,152.0,145.0,36.0,,,,
2018-07-13 14:30:00,2018-07-13T00:00:00.000000000,2188.0,253.0,374.0,22.0,1206.0,79.0,85.0,12.0,1296.0,235.0,273.0,76.0,,,,
2018-07-13 15:00:00,2018-07-13T00:00:00.000000000,2789.0,276.0,359.0,26.0,1635.0,98.0,85.0,14.0,1815.0,180.0,216.0,19.0,,,,
2018-07-16 10:00:00,2018-07-16T00:00:00.000000000,5829.0,658.0,727.0,126.0,4197.0,296.0,414.0,57.0,2916.0,397.0,295.0,63.0,,,,
2018-07-16 10:30:00,2018-07-16T00:00:00.000000000,2451.0,313.0,561.0,66.0,1857.0,169.0,196.0,14.0,1672.0,371.0,415.0,32.0,,,,
2018-07-16 11:00:00,2018-07-16T00:00:00.000000000,2166.0,298.0,337.0,62.0,1517.0,155.0,193.0,18.0,1286.0,312.0,246.0,79.0,,,,
2018-07-16 11:30:00,2018-07-16T00:00:00.000000000,2446.0,374.0,292.0,24.0,1548.0,172.0,140.0,31.0,1419.0,323.0,201.0,56.0,,,,
2018-07-16 13:30:00,2018-07-16T00:00:00.000000000,1681.0,370.0,486.0,32.0,1006.0,187.0,85.0,35.0,949.0,359.0,185.0,24.0,,,,
2018-07-16 14:00:00,2018-07-16T00:00:00.000000000,1470.0,416.0,236.0,20.0,998.0,181.0,84.0,7.0,976.0,327.0,207.0,15.0,,,,
2018-07-16 14:30:00,2018-07-16T00:00:00.000000000,1806.0,394.0,311.0,18.0,981.0,88.0,75.0,10.0,1069.0,361.0,176.0,17.0,,,,
