trade_time,trade_date,IF00,IF01,IF02,IF03,IH00,IH01,IH02,IH03,IC00,IC01,IC02,IC03,IM00,IM01,IM02,IM03
2018-07-02 10:00:00,2018-07-02T00:00:00.000000000,29111.0,1289.0,12492.0,2987.0,14534.0,844.0,5613.0,1941.0,24209.0,676.0,13702.0,3532.0,,,,
2018-07-02 10:30:00,2018-07-02T00:00:00.000000000,28482.0,1292.0,12494.0,2984.0,14185.0,853.0,5742.0,1935.0,23878.0,676.0,13687.0,3576.0,,,,
2018-07-02 11:00:00,2018-07-02T00:00:00.000000000,28565.0,1309.0,12642.0,2996.0,14179.0,860.0,5798.0,1943.0,23745.0,677.0,13670.0,3594.0,,,,
2018-07-02 11:30:00,2018-07-02T00:00:00.000000000,28434.0,1326.0,12789.0,2997.0,14249.0,870.0,5802.0,1952.0,23581.0,697.0,13671.0,3613.0,,,,
2018-07-02 14:00:00,2018-07-02T00:00:00.000000000,28818.0,1428.0,12961.0,3029.0,14558.0,911.0,5878.0,1966.0,23883.0,746.0,13675.0,3631.0,,,,
2018-07-02 15:00:00,2018-07-02T00:00:00.000000000,31234.0,1662.0,13381.0,3070.0,16120.0,986.0,5942.0,1996.0,25037.0,779.0,13680.0,3644.0,,,,
2018-07-03 10:00:00,2018-07-03T00:00:00.000000000,28946.0,1659.0,13234.0,3050.0,14536.0,927.0,5854.0,1992.0,23918.0,766.0,13639.0,3634.0,,,,
2018-07-03 10:30:00,2018-07-03T00:00:00.000000000,28913.0,1674.0,13217.0,3051.0,14517.0,916.0,5882.0,1993.0,23701.0,780.0,13684.0,3653.0,,,,
2018-07-03 11:00:00,2018-07-03T00:00:00.000000000,29230.0,1668.0,13281.0,3053.0,14704.0,909.0,5900.0,2002.0,23685.0,807.0,13742.0,3662.0,,,,
2018-07-03 11:30:00,2018-07-03T00:00:00.000000000,29910.0,1688.0,13358.0,3078.0,14971.0,931.0,5896.0,2006.0,23731.0,823.0,13790.0,3680.0,,,,
2018-07-03 14:00:00,2018-07-03T00:00:00.000000000,31314.0,1700.0,13525.0,3111.0,16092.0,948.0,5865.0,2025.0,24833.0,869.0,13965.0,3721.0,,,,
2018-07-03 15:00:00,2018-07-03T00:00:00.000000000,33110.0,1990.0,13788.0,3142.0,17421.0,959.0,5890.0,2035.0,26187.0,910.0,14123.0,3787.0,,,,
2018-07-04 10:00:00,2018-07-04T00:00:00.000000000,30674.0,1925.0,13619.0,3094.0,15508.0,937.0,5744.0,2022.0,24761.0,899.0,14004.0,3767.0,,,,
2018-07-04 10:30:00,2018-07-04T00:00:00.000000000,30219.0,1889.0,13719.0,3096.0,15112.0,975.0,5878.0,2023.0,24401.0,896.0,13954.0,3765.0,,,,
2018-07-04 11:00:00,2018-07-04T00:00:00.000000000,29970.0,1883.0,13702.0,3101.0,15008.0,979.0,5907.0,2020.0,24252.0,912.0,13934.0,3764.0,,,,
2018-07-04 11:30:00,2018-07-04T00:00:00.000000000,30055.0,1886.0,13707.0,3122.0,14946.0,986.0,5930.0,2028.0,24222.0,926.0,13932.0,3770.0,,,,
2018-07-04 14:00:00,2018-07-04T00:00:00.000000000,30493.0,1938.0,13819.0,3135.0,15135.0,996.0,5981.0,2029.0,24395.0,952.0,13964.0,3793.0,,,,
