expr,direction_by_ic_mean,bars,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_win,avg_loss
"gp_mean3(gp_gt(alpha002, 8.5234865473508), gp_mean3(alpha137, alpha137, alpha013), gp_mean7(alpha111, alpha184, alpha054, alpha135, alpha191, alpha096, alpha162))",long_top/short_bottom,3264,0.19302725791931152,0.25361988989196926,0.1265304821799783,2.0044173192291925,-0.11083453893661499,0.5235906862745098,0.0011906903237104416,-0.0011909346794709563
"gp_sub(alpha191, gp_cov_20(alpha096, gp_cov_10(amount, gp_delay_3(gp_cov_20(alpha111, alpha013)))))",long_bottom/short_top,3258,0.1603022813796997,0.2090181865174081,0.1079306213627206,1.9365976390978448,-0.06990516185760498,0.5027624309392266,0.0009517765138298273,-0.0008676754077896476
"gp_tan(gp_mean3(alpha191, alpha002, alpha013))",long_top/short_bottom,3264,0.16814672946929932,0.22028741104223348,0.11918796926480076,1.8482352908691597,-0.07154721021652222,0.5134803921568627,0.0011833315948024392,-0.001147414674051106
"gp_sin(gp_mean7(gp_signedpower(alpha013), alpha054, alpha191, alpha137, alpha096, alpha096, alpha013))",long_top/short_bottom,3264,0.17050468921661377,0.22469120211812266,0.12809837065755172,1.7540519911747725,-0.15357935428619385,0.5269607843137255,0.001211455906741321,-0.0012432764051482081
"gp_mean2(alpha191, alpha096)",long_top/short_bottom,3264,0.18920505046844482,0.25163052844235545,0.14408442857543963,1.7464102882610033,-0.1078188419342041,0.5330882352941176,0.0013541487278416753,-0.001426849514245987
"gp_mean3(gp_gt(alpha120, 8.5234865473508), gp_mean3(alpha137, alpha013, alpha165), gp_mean7(alpha111, alpha184, alpha054, alpha135, alpha191, alpha096, alpha162))",long_top/short_bottom,3264,0.15825927257537842,0.20827141360744528,0.12412460550052713,1.677922058786006,-0.13043689727783203,0.5260416666666666,0.0011535363737493753,-0.0011812954908236861
"gp_mean3(gp_gt(alpha002, alpha183), gp_mean3(alpha137, alpha137, alpha165), gp_mean7(gp_delay_3(gp_corr_10(gp_prod_05(open_interest), gp_decay_05(alpha191))), alpha184, alpha054, alpha135, alpha191, alpha096, alpha054))",long_top/short_bottom,3264,0.14387726783752441,0.19032972379139124,0.12785389767884192,1.4886501486992854,-0.13725638389587402,0.5254289215686274,0.0011714304564520717,-0.001205911161378026
"gp_mean3(gp_gt(alpha002, 8.5234865473508), gp_mean3(alpha137, alpha137, alpha165), gp_mean7(alpha111, alpha184, alpha054, alpha135, alpha191, alpha096, alpha162))",long_top/short_bottom,3264,0.1357717514038086,0.1799659065436774,0.12811529866678145,1.4047183155834932,-0.1492849588394165,0.5229779411764706,0.0012025455944240093,-0.0012323558330535889
gp_signedpower(alpha002),long_top/short_bottom,3264,0.12802982330322266,0.17013928633988074,0.12894119332145407,1.3195107161426578,-0.10411304235458374,0.5153186274509803,0.0012401785934343934,-0.001238168915733695
"gp_vneg(gp_mean6(alpha191, alpha002, alpha096, alpha054, alpha022, alpha013))",long_bottom/short_top,3264,0.12556767463684082,0.16715997934172577,0.1300339443661673,1.2855103346785661,-0.1378617286682129,0.5315563725490197,0.0012133048148825765,-0.0012949317460879683
